Ingredient_ID,Ingredient_Name,Ingredient_Lower,Category,Subcategory,Is_Vegetarian,Is_Vegan,Is_Gluten_Free,Common_Usage,Shelf_Life,Storage_Type,Typical_Unit,Hindi_Name,Regional_Names,Nutrition_Highlight,Allergen_Info,Season_Available,Price_Range,Substitutes,Common_Pairings,Cooking_Method,Taste_Profile,Notes,Cuisine_Origin
ING_0012,Mint Leaves,mint leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0013,Coriander Leaves,coriander leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0014,Dill Leaves,dill leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0015,Celery Leaves,celery leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0016,Parsley,parsley,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0017,Basil Leaves,basil leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0018,Sorrel Leaves,sorrel leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0019,Colocasia Leaves,colocasia leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0020,Drumstick Leaves,drumstick leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0021,Radish Leaves,radish leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0022,Beetroot Leaves,beetroot leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0023,Carrot Tops,carrot tops,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0024,Moringa Leaves,moringa leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0025,Brahmi Leaves,brahmi leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0026,Holy Basil,holy basil,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0027,Betel Leaves,betel leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0028,Cabbage,cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0029,Bok Choy,bok choy,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0030,Napa Cabbage,napa cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0031,Potato,potato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0032,Sweet Potato,sweet potato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0033,Yam,yam,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0034,Taro Root,taro root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0035,Cassava,cassava,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0036,Turnip,turnip,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0037,Radish,radish,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0038,White Radish,white radish,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0039,Beetroot,beetroot,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0040,Carrot,carrot,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0041,Purple Carrot,purple carrot,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0042,Ginger,ginger,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0043,Fresh Ginger,fresh ginger,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0044,Galangal,galangal,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0045,Turmeric Root,turmeric root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0046,Lotus Root,lotus root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0047,Arrowroot,arrowroot,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0048,Horseradish,horseradish,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0049,Parsnip,parsnip,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0050,Celeriac,celeriac,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0051,Salsify,salsify,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0052,Jerusalem Artichoke,jerusalem artichoke,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0053,Jicama,jicama,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0054,Kohlrabi,kohlrabi,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0055,Rutabaga,rutabaga,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0056,Burdock Root,burdock root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0057,Water Chestnut,water chestnut,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0058,Bamboo Shoots,bamboo shoots,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0059,Ginger Root,ginger root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0060,Elephant Foot Yam,elephant foot yam,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0061,Colocasia,colocasia,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0062,Tapioca Root,tapioca root,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0063,Purple Yam,purple yam,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0064,Orange Sweet Potato,orange sweet potato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0065,Red Potato,red potato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0066,Bottle Gourd,bottle gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0067,Bitter Gourd,bitter gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0068,Ridge Gourd,ridge gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0069,Snake Gourd,snake gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0070,Ash Gourd,ash gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0071,Sponge Gourd,sponge gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0072,Pointed Gourd,pointed gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0073,Ivy Gourd,ivy gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0074,Pumpkin,pumpkin,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0075,Butternut Squash,butternut squash,Vegetables,,Yes,No,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0076,Acorn Squash,acorn squash,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0077,Zucchini,zucchini,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0078,Yellow Squash,yellow squash,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0079,Spaghetti Squash,spaghetti squash,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0080,Cucumber,cucumber,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0081,Pickling Cucumber,pickling cucumber,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0082,English Cucumber,english cucumber,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0083,Lemon Cucumber,lemon cucumber,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0084,Armenian Cucumber,armenian cucumber,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0085,Chayote,chayote,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0086,Winter Melon,winter melon,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0087,Fuzzy Melon,fuzzy melon,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0088,Wax Gourd,wax gourd,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0089,Calabash,calabash,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0090,Tinda,tinda,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0091,Kundru,kundru,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0092,Turai,turai,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0093,Karela,karela,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0094,Lauki,lauki,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0095,Petha,petha,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0096,Cauliflower,cauliflower,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0097,Broccoli,broccoli,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0098,Cabbage,cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0099,Red Cabbage,red cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0100,Savoy Cabbage,savoy cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0101,Brussels Sprouts,brussels sprouts,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0102,Chinese Cabbage,chinese cabbage,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0103,Mustard Greens,mustard greens,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0104,Collard Greens,collard greens,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0105,Kale,kale,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0106,Kohlrabi,kohlrabi,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0107,Bok Choy,bok choy,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0108,Pak Choi,pak choi,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0109,Choy Sum,choy sum,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0110,Gai Lan,gai lan,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0111,Turnip Greens,turnip greens,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0112,Radish,radish,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0113,Daikon,daikon,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0114,Horseradish,horseradish,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0115,Watercress,watercress,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0116,Garden Cress,garden cress,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0117,Rocket,rocket,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0118,Arugula,arugula,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0119,Rapini,rapini,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0120,Romanesco,romanesco,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0121,Tomato,tomato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0122,Cherry Tomato,cherry tomato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0123,Roma Tomato,roma tomato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0124,Beefsteak Tomato,beefsteak tomato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0125,Green Tomato,green tomato,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0126,Eggplant,eggplant,Vegetables,,Yes,No,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0127,Brinjal,brinjal,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0128,Baby Eggplant,baby eggplant,Vegetables,,Yes,No,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0129,Japanese Eggplant,japanese eggplant,Vegetables,,Yes,No,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0130,White Eggplant,white eggplant,Vegetables,,Yes,No,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0131,Bell Pepper,bell pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0132,Red Bell Pepper,red bell pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0133,Green Bell Pepper,green bell pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0134,Yellow Bell Pepper,yellow bell pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0135,Orange Bell Pepper,orange bell pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0136,Capsicum,capsicum,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0137,Sweet Pepper,sweet pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0138,Banana Pepper,banana pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0139,Poblano Pepper,poblano pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0140,Jalapeño,jalapeño,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0141,Serrano Pepper,serrano pepper,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0142,Thai Chili,thai chili,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0143,Bird'S Eye Chili,bird's eye chili,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0144,Green Chili,green chili,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0145,Red Chili,red chili,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0146,Green Beans,green beans,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0147,French Beans,french beans,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0148,String Beans,string beans,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0149,Snap Beans,snap beans,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
